Сервер | 11/9/2020 10:09:42 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 10:09:42 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 10:09:44 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:10:00 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 10:10:00 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 10:10:02 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:30:41 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 10:30:41 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 10:31:04 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 10:31:04 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 10:31:05 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:32:55 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 10:32:55 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 10:32:55 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:32:57 AM | newser_client_0 отключился!
Сервер | 11/9/2020 10:33:08 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:33:11 AM | newser_client_0 отключился!
Сервер | 11/9/2020 10:33:44 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 10:33:44 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 10:33:46 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:33:50 AM | newser_client_0 отключился!
Сервер | 11/9/2020 10:33:54 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:33:58 AM | puppeteer_bot_0 подключился!
puppeteer_bot_0 | 11/9/2020 10:33:58 AM | Ожидаю команды СТАРТ
puppeteer_bot_0 | 11/9/2020 10:33:58 AM | Браузер запущен
Сервер | 11/9/2020 10:34:00 AM | puppeteer_bot_0 отключился!
Сервер | 11/9/2020 10:34:03 AM | newser_client_0 отключился!
Сервер | 11/9/2020 10:34:06 AM | puppeteer_bot_0 подключился!
puppeteer_bot_0 | 11/9/2020 10:34:07 AM | Ожидаю команды СТАРТ
puppeteer_bot_0 | 11/9/2020 10:34:07 AM | Браузер запущен
Сервер | 11/9/2020 10:34:08 AM | puppeteer_bot_0 отключился!
Сервер | 11/9/2020 10:34:13 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:34:16 AM | puppeteer_bot_0 подключился!
puppeteer_bot_0 | 11/9/2020 10:34:16 AM | Ожидаю команды СТАРТ
puppeteer_bot_0 | 11/9/2020 10:34:16 AM | Браузер запущен
Сервер | 11/9/2020 10:34:20 AM | puppeteer_bot_0 отключился!
Сервер | 11/9/2020 10:49:42 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 10:49:42 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 10:49:46 AM | newser_client_0 подключился!
Сервер | 11/9/2020 10:49:47 AM | Внутренняя очередь пуста. Обрабатываю данные с сервера
Сервер | 11/9/2020 10:49:47 AM | Получаю данные с сервера
Сервер | 11/9/2020 11:10:05 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:10:05 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:10:06 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:10:07 AM | puppeteer_bot_0 подключился!
puppeteer_bot_0 | 11/9/2020 11:10:07 AM | Ожидаю команды СТАРТ
puppeteer_bot_0 | 11/9/2020 11:10:07 AM | Браузер запущен
Сервер | 11/9/2020 11:32:50 AM | mercury_parser_0 подключился!
mercury_parser_0 | 11/9/2020 11:32:50 AM | Ожидаю команды СТАРТ
Сервер | 11/9/2020 11:32:53 AM | mercury_parser_0 отключился!
Сервер | 11/9/2020 11:34:21 AM | mercury_parser_0 подключился!
mercury_parser_0 | 11/9/2020 11:34:21 AM | Ожидаю команды СТАРТ
Сервер | 11/9/2020 11:34:24 AM | mercury_parser_0 отключился!
Сервер | 11/9/2020 11:34:26 AM | mercury_parser_0 подключился!
mercury_parser_0 | 11/9/2020 11:34:26 AM | Ожидаю команды СТАРТ
Сервер | 11/9/2020 11:34:26 AM | mercury_parser_0 отключился!
Сервер | 11/9/2020 11:38:14 AM | puppeteer_bot_0 отключился!
Сервер | 11/9/2020 11:38:15 AM | puppeteer_bot_0 подключился!
puppeteer_bot_0 | 11/9/2020 11:38:15 AM | Ожидаю команды СТАРТ
puppeteer_bot_0 | 11/9/2020 11:38:15 AM | Браузер запущен
Сервер | 11/9/2020 11:38:18 AM | puppeteer_bot_0 отключился!
Сервер | 11/9/2020 11:39:59 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:39:59 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:40:01 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:40:33 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:40:33 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:40:58 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:40:58 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:40:59 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:41:37 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:41:37 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:41:40 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:41:45 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:41:45 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:41:47 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:41:47 AM | puppeteer_bot_0 подключился!
puppeteer_bot_0 | 11/9/2020 11:41:47 AM | Ожидаю команды СТАРТ
puppeteer_bot_0 | 11/9/2020 11:41:47 AM | Браузер запущен
Сервер | 11/9/2020 11:41:48 AM | puppeteer_bot_0 отключился!
Сервер | 11/9/2020 11:42:10 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:42:10 AM | Файл запросов уже существует!
Сервер | 11/9/2020 11:42:10 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:42:11 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:42:19 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:42:19 AM | Файл запросов уже существует!
Сервер | 11/9/2020 11:42:19 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:42:21 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:42:21 AM | puppeteer_bot_0 подключился!
puppeteer_bot_0 | 11/9/2020 11:42:21 AM | Ожидаю команды СТАРТ
puppeteer_bot_0 | 11/9/2020 11:42:21 AM | Браузер запущен
Сервер | 11/9/2020 11:42:22 AM | puppeteer_bot_0 отключился!
Сервер | 11/9/2020 11:42:28 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:42:28 AM | Файл запросов уже существует!
Сервер | 11/9/2020 11:42:28 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:42:30 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:42:31 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:42:31 AM | Файл запросов уже существует!
Сервер | 11/9/2020 11:42:31 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:42:33 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:43:40 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:43:40 AM | Файл запросов уже существует!
Сервер | 11/9/2020 11:43:40 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:43:42 AM | newser_client_0 подключился!
Сервер | 11/9/2020 11:44:36 AM | Успешно подключился к ias_db
Сервер | 11/9/2020 11:44:36 AM | Файл запросов уже существует!
Сервер | 11/9/2020 11:44:36 AM | Сервер запущен на http://localhost:5000
Сервер | 11/9/2020 11:44:37 AM | newser_client_0 подключился!
